Company,Customer_Type,Main_Feature,Pricing,Weakness,What_Automates,Not_Automated,User_Complaints,AI_Useful
Interakt,D2C + WhatsApp sellers,WhatsApp CRM + API,₹2142/month,Higher pricing,"Order notifications, basic CRM",Complex order management,Price too high,Partial
WATI,D2C brands,WhatsApp Business API,₹2499/month,"Expensive, complex setup","Message templates, automation",Inventory sync,Complex setup,Partial
AiSensy,Small businesses,WhatsApp marketing + chatbots,₹999/month,Limited AI automation,"Marketing campaigns, chatbots",Advanced AI agents,AI not useful,Limited
Dukaan,WhatsApp sellers,WhatsApp catalog,Free + transaction fees,Basic features,Catalog sharing,Full inventory management,Limited features,No
Bikayi,SMBs,WhatsApp store builder,Free + transaction fees,Limited automation,Store creation,Multi-channel sync,Not automation-focused,No
Shiprocket,D2C brands,Shipping + AI MCP server,Variable + shipping costs,Shipping-focused not full commerce,"Shipping rates, order tracking",Full commerce operations,Not commerce-complete,Partial (shipping only)
ShopOS,Ecommerce businesses,AI commerce operations,Variable,AI is marketing not proven,Claims AI automation,Real merchant workflows,AI is buzzword,Marketing mostly
Gupshup,Enterprise,Enterprise WhatsApp API,₹4000+,"Enterprise only, expensive",Enterprise messaging,SMB workflows,Too expensive for SMB,Limited
Wapikit,SMBs,WhatsApp marketing,Variable,Marketing focus only,Marketing campaigns,"Orders, inventory",Limited scope,No
BusinessOnBot,SMBs,Omni-channel conversational,Variable,"Complex, niche",Omni-channel support,Commerce operations,Complex setup,Partial
Convonite,B2B lead management,WhatsApp lead management,Variable,Niche focus,Lead management,Full commerce,Limited to leads,Partial
WANotifier,WhatsApp marketing,WhatsApp notifications,Variable,Limited features,Notifications,Full CRM,Too basic,No
Sarvam,Multi-language businesses,AI agents WhatsApp 11 languages,Variable,"New, unproven","Voice/chat AI agents",Full commerce stack,Too new,Partial
Buyhatke,Shopping assistants,AI shopping assistant,Free,Price comparison only,Price tracking,Order management,Not for sellers,No
Synx Automation,MSMEs,AI WhatsApp Commerce,Seed raising,New startup,WhatsApp commerce,Unproven at scale,Too new,Unknown
SetupFlow,WhatsApp sellers,WhatsApp to Google Workspace,Micro-SaaS,Niche integration,WhatsApp to Google,Full commerce,Limited scope,No
ChatServe,SMBs,WhatsApp Automation SaaS,Variable,Small startup,WhatsApp automation,Advanced features,Limited,Partial
Tencrest,Africa merchants,AI-native Merchant OS,Variable,Africa only,Payment infrastructure,India markets,Not India,Partial
Electric,Retail,Retail analytics,Variable,Analytics only,Retail analytics,Commerce ops,Not full stack,No
Gaiva/AutonoSales,Auto sales,Autonomous AI-commerce,Variable,Auto niche,Auto sales,General commerce,Too niche,Partial
NeuroTech,AI infrastructure,AI commerce infrastructure,Variable,Infrastructure only,AI systems,Merchant facing,Not end-user,Yes (infra)
ztgrowth,Conversational commerce,Conversational commerce,Variable,Niche,Conversational flows,Full stack,Limited,Partial
Shopify,All D2C,Ecommerce platform,$29-299/month,Not WhatsApp-native,Store building,WhatsApp flows,No WhatsApp,Partial
Amazon,All sellers,Marketplace,Variable fees,Not own store,Listings,Independent sales,High fees,No
Zoho,SMBs,CRM + ERP,₹900-9000/month,Not commerce-focused,CRM workflows,WhatsApp commerce,Complex,Partial
Tally,Retail,Accounting + Inventory,₹6000-18000/year,Not customer-facing,Accounting,Customer engagement,Old interface,No
KhataBook,Kirana,Digital ledger,Free-₹5000/year,Ledger only,Bookkeeping,Full commerce,Basic,No
OkCredit,Small retailers,Digital ledger,Free,Ledger only,Credit tracking,"Inventory, orders",Too simple,No
Dio,D2C,Commerce automation,Variable,New,Basic automation,Advanced,Unproven,Unknown
Salelegends,Ecommerce,Sales automation,Variable,Niche,Sales flows,Full stack,Limited,Partial
