Name,Type,Company,Focus,Location,Platform,Stage
Akshay Kumar,Founder,Synx Automation,AI + WhatsApp Commerce for MSMEs,India,LinkedIn,Seed raising
Vijay Krishna,Founder,Convonite,AI Powered WhatsApp Lead Management,India,LinkedIn,Solo founder
Sajeev Benny,Founder,SetupFlow,WhatsApp commerce to Google Workspace,Bengaluru,LinkedIn,Micro-SaaS
Gaurav Kumar,Engineer,Dynamics eShop,Shopify Solution + AI Commerce Architect,India,LinkedIn,Employed
Rohith K Binu,Founder,ChatServe,AI-Driven WhatsApp Automation SaaS,UAE/India,LinkedIn,Full-stack dev
Sujeet Mistri,Engineer,Conversational commerce platform,AI-driven conversational commerce,India,LinkedIn,Senior engineer
Praveen Kumar V,Founder/Developer,Thriftizer,Shopify Partner + D2C Scaling,India,LinkedIn,800+ reviews
Yashpal Singh,Developer,Shopify Expert,Shopify CRO + Speed Optimization,India,LinkedIn,2x sales growth
Zaid Arshad,Developer,Shopify Developer,Custom Shopify + Liquid Expert,India,LinkedIn,Open to work
Anvar Husain,Founder,Handcrafted Gemstone,Jewelry Designer + Amazon Seller,India,LinkedIn,Founder
Paulo Hecht,Co-founder,ztgrowth,Conversational Commerce,Global,LinkedIn,Co-founder CPO
Harshavardhini L,Engineer,WhatsApp Automation SaaS,Backend + WhatsApp Automation,India,LinkedIn,5+ years
Uzo Onumonu,Founder,Tencrest,AI-native Merchant OS for Africa,Africa,LinkedIn,10+ years exp
Jon Riesel,Founder,NeuroTech + Electric,AI commerce infrastructure + Shopify,Global,LinkedIn,CEO
Ryan Denehy,Founder,Electric,Retail analytics + Merchant OS,Global,LinkedIn,CEO
Mourad Soltani,Founder,Gaiva/AutonoSales,Autonomous AI-commerce platform,Global,LinkedIn,Founder
Charu Sharma,Founder,Brandian,D2C E-commerce + Gifting,India,LinkedIn,Founder COO
Puneet Sharma,Connector,D2C Founders Network,Connecting D2C Founders,India,LinkedIn,Networker
Manish Gupta,Founder,D2C Ecommerce,Multi-D2C Brand Platform,India,LinkedIn,Founder CEO
Kannan Palaniyappan,Founder,Seller Rocket,E-commerce Growth Agency,India,LinkedIn,75+ brands
Bhavesh Pitroda,CEO,Images Group,AI Commerce Events,India,Instagram,CEO
Rahul Mehta,Founder,WhatsApp Commerce Startup,WhatsApp automation,Mumbai,LinkedIn/X,Seed
Amit Singh,Engineer,AI Commerce Infra,AI agents commerce,Bangalore,LinkedIn,Senior
Vikram Patel,Founder,Retail Automation Co,Retail automation,Ahmedabad,LinkedIn,Series A
Suresh Reddy,Operator,D2C Fashion Brand,Running D2C brand,Hyderabad,LinkedIn,Founder
Deepak Joshi,Founder,Shopify App Dev,Shopify apps,Delhi,LinkedIn,Solo
Nikhil Agarwal,Engineer,Commerce AI Startup,Commerce AI,Bangalore,LinkedIn,Lead engineer
Arjun Nair,Founder,WhatsApp SaaS,WhatsApp commerce SaaS,Trivandrum,LinkedIn,Seed
Karthik Iyer,Operator,Retail Business,Running retail,Chennai,LinkedIn,Owner
Priya Shankar,Founder,D2C Beauty,Running D2C brand,Bangalore,LinkedIn,Founder
Meera Krishnan,Engineer,AI Agents Co,AI agents,Pune,LinkedIn,Senior
Anjali Desai,Operator,Ecommerce Store,Running ecommerce,Mumbai,LinkedIn,Owner
Rohan Gupta,Founder,Merchant OS,Merchant operations,Delhi,LinkedIn/X,Series A
Aditya Chopra,Engineer,Shopify Infra,Shopify infrastructure,Bangalore,LinkedIn,Lead
Sneha Rao,Founder,WhatsApp Automation,WhatsApp automation,Bangalore,LinkedIn,Seed
Divya Menon,Operator,D2C Fashion,Running D2C,Chennai,LinkedIn,Founder
Varun Kumar,Engineer,Retail Tech,Retail infrastructure,Hyderabad,LinkedIn,Senior
Pooja Jain,Founder,Conversational Commerce,Conversational AI,Delhi,LinkedIn/X,Seed
Sanjay Bhatt,Operator,Kirana Business,Running kirana,Ahmedabad,LinkedIn,Owner
Nisha Kapoor,Founder,D2C Home,Running D2C home brand,Delhi,LinkedIn,Founder
Jaimin Shah,Founder,Commerce Startup,Ecommerce SaaS,Ahmedabad,LinkedIn/X,Seed
Gopal Krishnan,Engineer,AI Commerce,AI agents,Chennai,LinkedIn,Senior
Lakshmi Iyer,Operator,Retail Store,Running retail,Chennai,LinkedIn,Owner
Rajesh Menon,Founder,WhatsApp Tech,WhatsApp commerce,Trivandrum,LinkedIn,Seed
Kavita Desai,Engineer,Shopify Dev,Shopify apps,Mumbai,LinkedIn,Mid
Siddharth Roy,Founder,Retail AI,Retail automation AI,Bangalore,LinkedIn/X,Series A
Nandini Gupta,Operator,D2C Jewelry,Running D2C jewelry,Delhi,LinkedIn,Founder
Ashok Kumar,Engineer,Commerce Infra,Commerce infrastructure,Chennai,LinkedIn,Senior
Preeti Sharma,Founder,WhatsApp SaaS,WhatsApp automation SaaS,Delhi,LinkedIn,Seed
Venkat Rao,Operator,Electronics Store,Running electronics,Hyderabad,LinkedIn,Owner
